expert_id,parent_indicator_id,left_indicator_id,right_indicator_id,ratio
E001,safety,IND001,IND002,3
E001,safety,IND001,IND003,2
E001,safety,IND002,IND003,2
E002,safety,IND001,IND002,4
E002,safety,IND001,IND003,3
E002,safety,IND002,IND003,2
E001,comfort,IND005,IND006,5
E001,comfort,IND005,IND007,2
E001,comfort,IND006,IND007,3
E002,comfort,IND005,IND006,4
E002,comfort,IND005,IND007,3
E002,comfort,IND006,IND007,2
E001,intelligent,IND009,IND010,2
E001,intelligent,IND009,IND011,3
E001,intelligent,IND010,IND011,2
E002,intelligent,IND009,IND010,3
E002,intelligent,IND009,IND011,2
E002,intelligent,IND010,IND011,3
E001,entertainment,IND013,IND014,6
E001,entertainment,IND013,IND015,2
E001,entertainment,IND014,IND015,5
E002,entertainment,IND013,IND014,5
E002,entertainment,IND013,IND015,3
E002,entertainment,IND014,IND015,4
