indicator_id,level_1,level_2,level_3,level_4,feature_name,category,installation_rate,score_max,enabled
IND001,safety,active_safety,collision_avoidance,,碰撞预警,required,0.85,100,true
IND002,safety,active_safety,lane_keep,,车道保持,required,0.80,100,true
IND003,safety,passive_safety,airbag,,安全气囊,required,0.95,100,true
IND004,safety,passive_safety,body_structure,,车身结构,required,0.90,100,true
IND005,comfort,seat_comfort,adjustment,,座椅调节,required,0.90,100,true
IND006,comfort,seat_comfort,ventilation,,座椅通风,bonus,0.50,100,true
IND007,comfort,climate,temperature,,温控系统,required,0.95,100,true
IND008,comfort,climate,air_quality,,空气净化,bonus,0.60,100,true
IND009,intelligent,voice,recognition,,语音识别,required,0.75,100,true
IND010,intelligent,voice,command,,语音指令,bonus,0.70,100,true
IND011,intelligent,navigation,route,,导航路线,required,0.85,100,true
IND012,intelligent,navigation,traffic,,交通信息,bonus,0.65,100,true
IND013,entertainment,audio,premium,,音响系统,bonus,0.60,100,true
IND014,entertainment,audio,ambient,,氛围声音,excluded,0.30,100,true
IND015,entertainment,display,central_screen,,中控大屏,required,0.88,100,true
IND016,entertainment,display,head_up,,抬头显示,bonus,0.45,100,true
